date,customers_bop,new_customers,churned_customers,customers_eop,arpa,mrr,revenue,cogs,gross_profit,rd_headcount,sm_headcount,ga_headcount,rd_expense,sm_expense,ga_expense,opex,operating_income,cash_flow,cash_balance,churn_rate,cogs_pct,seasonality_factor
2024-04-01,1131,37,22,1146,236.04,270501.93,270501.93,60643.17,209858.76,33,30,14,513470.9,401420.38,199105.61,1113996.88,-904138.12,-904138.12,-20921157.79,0.0196,0.2238,1.0346
2024-05-01,1146,36,22,1160,232.16,269309.88,269309.88,60447.05,208862.83,33,30,14,517039.81,409267.9,196061.19,1122368.9,-913506.07,-913506.07,-21834663.86,0.0194,0.2232,1.02
2024-06-01,1160,51,22,1189,225.27,267842.92,267842.92,59928.92,207914.01,33,31,14,531206.72,420889.18,201057.5,1153153.4,-945239.4,-945239.4,-22779903.26,0.0192,0.2226,1.0
2024-07-01,1189,49,23,1215,222.74,270623.71,270623.71,60534.44,210089.27,34,31,14,522927.21,417508.91,197835.1,1138271.22,-928181.95,-928181.95,-23708085.22,0.019,0.222,0.98
2024-08-01,1215,44,23,1236,220.86,272985.12,272985.12,60853.67,212131.44,34,32,14,518500.99,429961.25,200964.83,1149427.08,-937295.63,-937295.63,-24645380.85,0.0188,0.2214,0.9654
2024-09-01,1236,36,23,1249,218.46,272854.17,272854.17,60655.63,212198.54,34,32,14,523150.97,432935.1,198890.6,1154976.67,-942778.13,-942778.13,-25588158.98,0.0186,0.2208,0.96
2024-10-01,1249,46,23,1272,220.39,280341.15,280341.15,60480.98,219860.17,35,33,14,543511.51,442551.74,200494.64,1186557.89,-966697.72,-966697.72,-26554856.7,0.0184,0.2202,0.9654
2024-11-01,1272,44,23,1293,226.93,293423.36,293423.36,64993.63,228429.74,35,33,14,535988.39,444009.8,197855.81,1177854.0,-949424.26,-949424.26,-27504280.96,0.0182,0.2196,0.98
2024-12-01,1293,47,23,1317,229.49,302239.4,302239.4,65355.84,236883.55,35,34,14,547479.4,468740.7,200852.54,1217072.64,-980189.09,-980189.09,-28484470.04,0.018,0.219,1.0
2025-01-01,1317,44,23,1338,239.22,320082.85,320082.85,69411.39,250671.46,36,34,14,560476.51,462555.57,196957.26,1219989.34,-969317.89,-969317.89,-29453787.93,0.0178,0.2184,1.02
2025-02-01,1338,46,24,1360,240.1,326536.87,326536.87,70940.1,255596.76,36,35,14,551037.37,480213.14,195956.88,1227207.39,-971610.63,-971610.63,-30425398.56,0.0176,0.2178,1.0346
2025-03-01,1360,49,24,1385,245.6,340158.07,340158.07,72821.48,267336.59,36,35,15,564490.45,472548.35,210909.39,1247948.19,-980611.6,-980611.6,-31406010.16,0.0174,0.2172,1.04
2025-04-01,1385,34,24,1395,242.6,338428.57,338428.57,73354.8,265073.77,37,36,15,571290.23,486551.69,214410.34,1272252.26,-1007178.49,-1007178.49,-32413188.65,0.0172,0.2166,1.0346
2025-05-01,1395,44,24,1415,243.77,344936.14,344936.14,73051.78,271884.36,37,36,15,572629.51,488859.22,213598.51,1275087.25,-1003202.89,-1003202.89,-33416391.53,0.017,0.216,1.02
2025-06-01,1415,34,24,1425,233.14,332223.28,332223.28,71139.14,261084.14,38,37,15,594004.16,501283.29,211524.1,1306811.55,-1045727.41,-1045727.41,-34462118.94,0.0168,0.2154,1.0
2025-07-01,1425,49,24,1450,232.37,336935.94,336935.94,72829.53,264106.41,38,37,15,584117.22,496701.9,214591.74,1295410.85,-1031304.44,-1031304.44,-35493423.38,0.0166,0.2148,0.98
